meanNDVI,names,area,date,plot,type,year
0.7590922770591882,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D1,KJ,2018-07-27,KJ-D1,D,2018
0.6673156270749458,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C1,KJ,2018-07-27,KJ-C1,C,2018
0.7734935933198684,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C3,KJ,2018-07-27,KJ-C3,C,2018
0.7900530413327465,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D3,KJ,2018-07-27,KJ-D3,D,2018
0.7590151911086225,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C5,KJ,2018-07-27,KJ-C5,C,2018
0.7790701947364199,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D5,KJ,2018-07-27,KJ-D5,D,2018
0.7688681212338534,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D2,KJ,2018-07-27,KJ-D2,D,2018
0.6759083918784852,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C2,KJ,2018-07-27,KJ-C2,C,2018
0.7687187119692314,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C4,KJ,2018-07-27,KJ-C4,C,2018
0.7038627322213056,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D4,KJ,2018-07-27,KJ-D4,D,2018
0.6244949190605916,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-D1,KJ,2019-08-04,KJ-D1,D,2019
0.7271660284934638,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-C1,KJ,2019-08-04,KJ-C1,C,2019
0.737077696614911,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-C3,KJ,2019-08-04,KJ-C3,C,2019
0.6861632250464011,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-D3,KJ,2019-08-04,KJ-D3,D,2019
0.7539320056572621,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-C5,KJ,2019-08-04,KJ-C5,C,2019
0.7643147775665723,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-D5,KJ,2019-08-04,KJ-D5,D,2019
